阿舅,an2-ku7
阿理不達,a-li2-put-tat
阿里蔘,a-li2-sim
阿里山,a-li2-soaⁿ
阿孥,a-lo͘5
庵,am
掩,am
諳,am
湆,am2
&#25566;,am2
阿姆,a-m2
阿姆,a2-m2
阿姆,an2-m2
湆湆,am2-am2
湆bok8-bok8,am2-bok8-bok8
湆模粿,am2-bo͘5-ke2
湆參芋,am2-chham-o͘7
湆ioh-ioh,am2-ioh-ioh
湆ioh8-ioh8,am2-ioh8-ioh8
湆io2-io2,am2-io2-io2
湆ka3-ka3,am2-ka3-ka3
闇弱,am2-jiok8
湆咯咯,am2-kih-kih
黯官,am2-koaⁿ
湆濾,am2-li7
湆糜,am2-be5
湆糜,am2-moai5
湆糜,am2-moe5
湆糜,am2-mai5
湆糜,am2-ber5
闇昧,am2-mui7
湆沫,am2-pheh8
湆沫,am2-phoeh8
湆沫,am2-pherh8
湆庀,am2-phi2
湆波,am2-pho
湆紕,am2-phui3
am2扁,am2-piⁿ2
am2扁孔,am2-piⁿ2-khang
am2扁糕,am2-piⁿ2-ko
am2扁甜,am2-piⁿ2-tiⁿ
湆pui7,am2-pui7
am2-pui7,am2-pui7
湆杓,am2-siah8
湆酸,am2-sng
湆凍,am2-tang3
湆榨,am2-te3
湆湯,am2-thng
湆湯湯,am2-thin-thong
暗,am3
暗暗,am3-am3
暗暗醬醬,am3-am3-chiuⁿ3-chiuⁿ3
暗紅,am3-ang5
暗墨墨,am3-bok8-bok8
暗碼,am3-be2
暗默,am3-bek8
暗bin摸,am3-bin-bong
暗摸摸,am3-bong-bong
暗謀,am3-bo͘5
暗查,am3-chha5
暗查大老,am3-cha-toa7-lo2
暗奏,am3-chau3
暗灶,am3-chau3
暗靜,am3-cheng7
暗抄,am3-chhau
頷腮,am7-chhi
暗刺,am3-chhi3
暗車,am3-chhia
暗淺,am3-chhian2
暗串,am3-chhng3
暗指,am3-chi2
暗箭,am3-chiⁿ3
暗錢,am3-chiⁿ5
暗醬,am3-chiuⁿ3
暗做靜,am3-cho3-cheng7
暗藏,am3-chong5
暗助,am3-cho͘7
暗卒卒,am3-chut8-chut8
暗月,am3-geh8
暗擬,am3-gi2
暗議,am3-gi7
暗語,am3-gu2
暗害,am3-hai7
暗學館,am3-oh8-koan2
暗合,am3-hap8
暗火,am3-he2
暗火,am3-hoe2
暗火,am3-her2
暗下,am3-he7
暗行,am3-heng7
暗和,am3-ho5
暗號,am3-ho7
暗訪,am3-hong2
暗防,am3-hong5
暗雨,am3-ho͘7
暗婚,am3-hun
暗分,am3-hun
暗昏,am3-hun
暗雲,am3-hun5
暗恨,am3-hun7
暗意,am3-i3
暗夜,am3-ia7
暗影,am3-iaⁿ2
暗約,am3-iok
暗酋,am3-iu5
暗洋,am3-iuⁿ5
暗溝,am3-kau
暗計,am3-ke3
暗價,am3-ke3
暗隔,am3-keh
暗間,am3-keng
暗弓,am3-keng
暗境,am3-keng2
暗蓋,am3-kham3
暗器,am3-khi3
暗--去,am3--khi3
暗睏,am3-khun3
暗機,am3-ki
暗痣,am3-ki3
暗記,am3-ki3
暗記號,am3-ki3-ho7
暗告,am3-ko3
暗訣,am3-koat
暗光鳥,am3-koa3-chiau2
暗股,am3-ko͘2
暗鬼,am3-kui2
暗貴,am3-kui3
暗綠,am3-lek8
暗念,am3-liam7
暗流,am3-liu5
暗路,am3-lo͘7
暗暝,am3-me5
暗名,am3-mia5
暗藍,am3-lam5
暗貓貓,am3-niau-niau
暗晏,am3-oaⁿ3
暗晏鳥,am3-oaⁿ3-chiau2
暗學,am3-oh8
暗烏,am3-o͘
暗板,am3-pan2
暗批,am3-phoe
暗稟,am3-pin2
暗飯,am3-png7
暗步,am3-po͘7
暗不靜,am3-put-chiⁿ7
暗sam3,am3-sam3
暗殺,am3-sat
暗西,am3-sai
暗室,am3-sek
暗色,am3-sek
暗時,am3-si5
暗示,am3-si7
暗麝,am3-sia7
暗神,am3-sin5
暗誦,am3-siong7
暗相會,am3-siong-hoe7
暗穡,am3-sit
暗想,am3-siuⁿ7
暗拴,am3-sng
暗算,am3-soan3
暗鎖,am3-so2
暗事,am3-su7
暗榫,am3-sun2
暗術,am3-sut8
暗礁,am3-chiau5
暗淡,am3-tam7
暗茶色,am3-te5-sek
暗袋,am3-te7
暗thai5,am3-thai5
暗頭,am3-thau5
暗貼,am3-thiap
暗屜,am3-thoah
暗吊,am3-tiau3
暗潮,am3-tiau5
暗淀,am3-tiⁿ7
暗中運動,am3-tiong un7-tong7
暗頓,am3-tng3
暗毒,am3-tok8
暗洞,am3-tong7
涵,am5
食,ham5
涵溝,am5-kau
涵孔,am5-khang
涵孔溝,am5-khang-kau
涵孔龜,am5-khang-ku
頷,am7
茂,am7
頷仔頸,am7-a2-kun2
頷仔領,am7-a2-nia2
茂茂,am7-am7
蝦蟆,am7-mui5
am7-boe5乖,am7-mui5-koai
頷珠,am7-chu
頷下,am7-e7
頷癰,am7-eng
茂掛掛,am7-khoa3-khoa3
頷箍,am7-kho͘
頷管,am7-kng2
頷koaⁿ7,am7-koaⁿ7
頷kui,am7-kui
頷頸,am7-kun2
頷頸後,am7-kun2-au7
頷頸腮,am7-kun2-chhi
頷頸珠,am7-kun2-chu
頷頸枷,am7-kun2-ke5
頷頸臼,am7-kun2-khu7
頷頸kui,am7-kun2-kui
頷頸筋,am7-kun2-kun
頷頸骨,am7-kun2-kut
頷頸幔,am7-kun2-moa
頷頸領,am7-kun2-nia2
頷頸山,am7-kun2-soaⁿ
頷癘,am7-lat8
頷瘤,am7-liu5
頷領,am7-nia2
茂pha3-pha3,am7-pha3-pha3
茂pha3-pha3,am7-pha7-pha7
茂pha3-pha3,am7-phe3-phe3
頷垂,am7-se5
頷垂豆,am7-se5-tau7
頷線,am7-soaⁿ3
頷帶,am7-toa3
頷抵,am7-tu2
阿媽,a-ma2
阿媽,a2-ma2
阿媽,an2-ma2
掩攔,am-aⁿ5
庵廟,am-bio7
庵主,am-chu2
掩戇,am-gong7
阿眉仔,a-mi5-a2
掩蔭,am-im3
庵院,am-iⁿ7
掩憨,am-kham2
掩憨戇,am-kham2-gong7
掩蓋,am-kham3
掩缸,am-kng
醃瓜,am-koe
醃瓜,iam-koe
醃瓜,am5-koe
醃瓜籽,am-koe-chi2
醃瓜干,am-koe-koaⁿ
醃瓜脯,am-koe-po͘2
醃瓜蟲,am-koe-thang5
掩來扯去,am-lai5 chhe2-khi3
掩來合去,am-lai5 kah-khi3
掩壺,am-o͘5
掩湖,am-o͘5
庵埔蟬,am-po͘5-chhe5
掩死鯉魚,am-si2-li2-hi5
掩水魚,am-sui2-gu5
掩貪,am-tham
庵堂,am-tng5
安,an
遮,aⁿ
攬,aⁿ2
攬攬,aⁿ2-aⁿ2
阿bo͘2,an2-bo͘2
攬嘴,an2-chhui3
阿語,an2-gu7
aⁿ2-na2,aⁿ2-na2
如此,an2-ni
如此,an2-ne
如此,an2-chiⁿ
如此,an2-chiⁿ2
如此,an3-chiⁿ3
如此,an2 -iⁿ
如此,an2- chiⁿ7
如此,an2-hiⁿ
如此,an3-hiⁿ2
如此,an3-hiⁿ3
如此,an3-hiuⁿ3
如此生,an2-ni-siⁿ
如此生,an2-ne-siⁿ
如此生,an2-hiⁿ-siⁿ
如此生,an2-hiⁿ3-siⁿ3
如此生,an3-hiuⁿ3-siⁿ
如此生,an3-hiuⁿ3-siⁿ3
如此生仔,an2-ni-siⁿ-a2
如此生仔,an2-ne-siⁿ-a2
